iter	Passed	Remaining
0	59	59416
1	59	29801
2	59	19924
3	60	15000
4	60	12027
5	60	10050
6	60	8637
7	61	7578
8	61	6751
9	61	6089
10	61	5552
11	62	5109
12	62	4729
13	62	4405
14	62	4121
15	62	3872
16	63	3652
17	63	3456
18	63	3280
19	63	3123
20	63	2980
21	64	2851
22	64	2733
23	64	2624
24	64	2525
25	64	2432
26	65	2347
27	65	2267
28	65	2193
29	65	2124
30	65	2059
31	66	1998
32	66	1941
33	66	1887
34	66	1837
35	66	1789
36	67	1745
37	67	1702
38	67	1662
39	67	1623
40	67	1586
41	68	1552
42	68	1518
43	68	1486
44	68	1458
45	68	1429
46	69	1406
47	69	1382
48	69	1357
49	70	1332
50	70	1308
51	70	1285
52	70	1263
53	70	1242
54	71	1222
55	71	1203
56	71	1184
57	71	1166
58	72	1148
59	72	1131
60	72	1116
61	72	1099
62	72	1084
63	73	1069
64	73	1054
65	73	1040
66	73	1026
67	73	1012
68	74	999
69	74	986
70	74	973
71	74	961
72	74	950
73	75	939
74	75	931
75	75	920
76	75	909
77	76	900
78	76	890
79	76	880
80	76	871
81	76	861
82	77	851
83	77	842
84	77	835
85	78	828
86	78	820
87	78	812
88	78	804
89	79	807
90	80	799
91	80	792
92	80	786
93	80	780
94	81	774
95	81	767
96	81	761
97	82	755
98	83	756
99	83	750
100	83	745
101	83	739
102	84	734
103	84	728
104	84	723
105	85	718
106	85	713
107	85	708
108	86	704
109	86	699
110	86	695
111	87	690
112	87	684
113	87	679
114	87	674
115	87	669
116	88	664
117	88	659
118	88	655
119	88	650
120	88	645
121	89	641
122	89	638
123	89	635
124	90	632
125	90	629
126	90	625
127	91	621
128	91	617
129	91	613
130	91	609
131	92	606
132	92	602
133	92	599
134	93	596
135	93	592
136	93	589
137	93	585
138	94	582
139	94	578
140	94	575
141	94	571
142	94	567
143	94	564
144	95	561
145	95	558
146	95	554
147	95	551
148	95	548
149	96	545
150	96	541
151	96	539
152	96	536
153	97	534
154	97	531
155	97	529
156	98	527
157	98	524
158	98	522
159	99	519
160	99	516
161	99	514
162	99	512
163	100	510
164	100	507
165	100	506
166	101	504
167	101	502
168	101	499
169	101	497
170	102	494
171	102	492
172	102	490
173	102	488
174	103	485
175	103	483
176	103	481
177	103	480
178	104	478
179	104	476
180	104	474
181	105	473
182	105	471
183	105	469
184	106	467
185	106	465
186	106	464
187	107	462
188	107	460
189	107	458
190	107	456
191	107	454
192	108	452
193	108	451
194	108	449
195	109	447
196	109	445
197	109	443
198	109	441
199	109	439
200	110	438
201	110	436
202	110	434
203	110	432
204	110	430
205	111	428
206	111	426
207	111	424
208	111	423
209	111	421
210	112	419
211	112	418
212	112	416
213	113	415
214	113	413
215	113	411
216	113	410
217	113	408
218	114	406
219	114	405
220	114	403
221	114	402
222	115	400
223	115	399
224	115	397
225	115	396
226	115	394
227	116	393
228	116	391
229	116	390
230	116	388
231	116	387
232	117	385
233	117	384
234	117	382
235	117	381
236	118	379
237	118	378
238	118	376
239	118	375
240	118	374
241	119	372
242	119	371
243	119	370
244	119	368
245	119	367
246	120	366
247	120	365
248	120	363
249	120	362
250	121	361
251	121	360
252	121	358
253	121	357
254	122	356
255	122	355
256	122	354
257	122	353
258	123	351
259	123	350
260	123	349
261	123	348
262	123	347
263	124	346
264	124	344
265	124	343
266	124	342
267	124	341
268	125	339
269	125	338
270	125	337
271	125	336
272	125	335
273	126	333
274	126	332
275	126	331
276	126	330
277	126	329
278	127	328
279	127	327
280	127	326
281	127	325
282	128	324
283	128	324
284	129	323
285	129	322
286	129	322
287	130	321
288	130	320
289	130	319
290	130	319
291	131	318
292	131	317
293	131	316
294	131	315
295	132	314
296	132	313
297	132	312
298	132	311
299	133	310
300	133	310
301	133	309
302	134	308
303	134	307
304	134	306
305	134	305
306	135	305
307	135	304
308	135	303
309	136	303
310	136	302
311	136	301
312	136	300
313	137	299
314	137	299
315	137	298
316	138	297
317	138	296
318	138	296
319	139	295
320	139	294
321	139	293
322	139	293
323	140	292
324	140	291
325	140	290
326	140	289
327	140	288
328	141	287
329	141	286
330	141	286
331	141	285
332	142	284
333	142	284
334	142	283
335	143	282
336	143	281
337	143	280
338	143	280
339	143	279
340	144	278
341	144	277
342	144	276
343	144	275
344	144	275
345	145	274
346	145	273
347	145	272
348	145	272
349	146	271
350	146	270
351	146	269
352	146	268
353	146	267
354	147	267
355	147	266
356	147	265
357	147	264
358	147	263
359	148	263
360	148	262
361	148	261
362	148	260
363	148	260
364	149	259
365	149	258
366	149	257
367	149	257
368	149	256
369	150	255
370	150	254
371	150	254
372	150	253
373	151	252
374	151	252
375	151	251
376	151	250
377	151	250
378	152	249
379	152	248
380	152	248
381	152	247
382	153	246
383	153	246
384	153	245
385	153	244
386	153	243
387	154	243
388	154	242
389	154	241
390	154	240
391	155	240
392	155	239
393	155	238
394	155	238
395	155	237
396	156	236
397	156	236
398	156	235
399	156	234
400	156	234
401	156	233
402	157	232
403	157	232
404	157	231
405	157	230
406	157	230
407	158	229
408	158	228
409	158	228
410	158	227
411	159	227
412	159	226
413	159	225
414	159	225
415	159	224
416	160	223
417	160	223
418	160	222
419	160	222
420	161	221
421	161	221
422	161	220
423	161	219
424	161	219
425	162	218
426	162	217
427	162	217
428	162	216
429	163	216
430	163	215
431	163	214
432	163	214
433	163	213
434	164	213
435	164	212
436	164	211
437	164	211
438	164	210
439	165	210
440	165	209
441	165	209
442	165	208
443	166	208
444	166	207
445	167	207
446	167	207
447	168	207
448	169	207
449	169	206
450	169	206
451	170	206
452	170	205
453	170	205
454	171	204
455	171	204
456	171	203
457	171	203
458	172	202
459	172	202
460	172	201
461	172	201
462	173	200
463	173	200
464	173	200
465	174	199
466	174	199
467	175	199
468	175	199
469	176	198
470	176	198
471	176	197
472	176	197
473	177	196
474	177	196
475	177	195
476	178	195
477	178	195
478	179	194
479	179	194
480	179	193
481	179	193
482	180	192
483	180	192
484	180	191
485	180	191
486	181	190
487	181	190
488	181	189
489	181	189
490	182	188
491	182	188
492	182	187
493	182	187
494	182	186
495	183	186
496	183	185
497	183	185
498	183	184
499	183	183
500	184	183
501	184	182
502	184	182
503	184	181
504	184	181
505	185	180
506	185	180
507	185	179
508	185	179
509	185	178
510	186	178
511	186	177
512	186	177
513	186	176
514	186	176
515	187	175
516	187	175
517	187	174
518	187	174
519	188	173
520	188	173
521	188	172
522	188	172
523	188	171
524	189	171
525	189	170
526	189	170
527	189	169
528	190	169
529	190	168
530	190	168
531	190	167
532	190	167
533	191	166
534	191	166
535	191	165
536	191	165
537	192	164
538	192	164
539	192	164
540	192	163
541	193	163
542	193	162
543	193	162
544	193	161
545	194	161
546	194	160
547	194	160
548	194	159
549	194	159
550	194	158
551	195	158
552	195	157
553	195	157
554	195	156
555	195	156
556	196	155
557	196	155
558	196	154
559	196	154
560	196	154
561	197	153
562	197	153
563	197	152
564	197	152
565	197	151
566	198	151
567	198	150
568	198	150
569	198	149
570	198	149
571	199	149
572	199	148
573	199	148
574	199	147
575	200	147
576	200	146
577	200	146
578	200	145
579	200	145
580	201	145
581	201	144
582	201	144
583	201	143
584	201	143
585	202	142
586	202	142
587	202	141
588	202	141
589	202	141
590	203	140
591	203	140
592	204	140
593	204	139
594	204	139
595	204	138
596	205	138
597	205	138
598	205	137
599	205	137
600	205	136
601	206	136
602	206	135
603	206	135
604	206	134
605	206	134
606	206	134
607	207	133
608	207	133
609	207	132
610	207	132
611	207	131
612	208	131
613	208	130
614	208	130
615	208	130
616	208	129
617	209	129
618	209	128
619	209	128
620	209	128
621	209	127
622	210	127
623	210	126
624	210	126
625	210	125
626	210	125
627	211	125
628	211	124
629	211	124
630	211	123
631	211	123
632	212	122
633	212	122
634	212	122
635	212	121
636	212	121
637	213	120
638	213	120
639	213	120
640	213	119
641	213	119
642	214	118
643	214	118
644	214	118
645	214	117
646	214	117
647	215	116
648	215	116
649	215	116
650	215	115
651	215	115
652	216	114
653	216	114
654	216	114
655	216	113
656	216	113
657	217	112
658	217	112
659	217	112
660	217	111
661	218	111
662	218	110
663	218	110
664	218	110
665	218	109
666	219	109
667	219	108
668	219	108
669	219	108
670	219	107
671	220	107
672	220	107
673	220	106
674	220	106
675	220	105
676	221	105
677	221	105
678	221	104
679	221	104
680	221	103
681	222	103
682	222	103
683	222	102
684	222	102
685	222	102
686	223	101
687	223	101
688	223	100
689	223	100
690	223	100
691	224	99
692	224	99
693	224	99
694	224	98
695	224	98
696	225	97
697	225	97
698	225	97
699	225	96
700	225	96
701	226	95
702	226	95
703	226	95
704	226	94
705	226	94
706	227	94
707	227	93
708	227	93
709	227	93
710	228	92
711	228	92
712	228	91
713	228	91
714	228	91
715	229	90
716	229	90
717	229	90
718	229	89
719	229	89
720	230	89
721	230	88
722	230	88
723	230	87
724	230	87
725	231	87
726	231	86
727	231	86
728	231	86
729	231	85
730	231	85
731	232	85
732	232	84
733	232	84
734	232	83
735	233	83
736	233	83
737	233	82
738	233	82
739	233	82
740	233	81
741	234	81
742	234	81
743	234	80
744	234	80
745	235	80
746	235	79
747	235	79
748	235	78
749	235	78
750	236	78
751	236	77
752	236	77
753	236	77
754	236	76
755	237	76
756	237	76
757	237	75
758	237	75
759	237	75
760	237	74
761	238	74
762	238	74
763	238	73
764	238	73
765	239	73
766	239	72
767	239	72
768	239	71
769	239	71
770	239	71
771	240	70
772	240	70
773	240	70
774	240	69
775	240	69
776	241	69
777	241	68
778	241	68
779	241	68
780	241	67
781	242	67
782	242	67
783	242	66
784	242	66
785	242	66
786	243	65
787	243	65
788	243	65
789	243	64
790	244	64
791	244	64
792	244	63
793	244	63
794	244	63
795	245	62
796	245	62
797	245	62
798	245	61
799	245	61
800	246	61
801	246	60
802	246	60
803	246	60
804	246	59
805	247	59
806	247	59
807	248	58
808	248	58
809	248	58
810	248	57
811	248	57
812	249	57
813	249	56
814	249	56
815	249	56
816	249	55
817	250	55
818	250	55
819	250	54
820	250	54
821	250	54
822	251	53
823	251	53
824	251	53
825	251	53
826	251	52
827	252	52
828	252	52
829	252	51
830	252	51
831	252	51
832	253	50
833	253	50
834	253	50
835	253	49
836	253	49
837	254	49
838	254	48
839	254	48
840	254	48
841	254	47
842	255	47
843	255	47
844	255	46
845	255	46
846	255	46
847	256	45
848	256	45
849	256	45
850	257	45
851	257	44
852	257	44
853	258	44
854	258	43
855	258	43
856	258	43
857	258	42
858	259	42
859	259	42
860	259	41
861	259	41
862	260	41
863	260	40
864	260	40
865	260	40
866	260	40
867	261	39
868	261	39
869	261	39
870	261	38
871	261	38
872	262	38
873	262	37
874	262	37
875	262	37
876	262	36
877	263	36
878	263	36
879	263	35
880	263	35
881	263	35
882	264	34
883	264	34
884	264	34
885	264	34
886	264	33
887	265	33
888	265	33
889	265	32
890	265	32
891	265	32
892	266	31
893	266	31
894	266	31
895	266	30
